Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Bulgary 911468 Zavolzhye Africa 0 Sport Surfing 577916 - - 
Japan 9291070 Zavolzhye Africa 1 Excursion 78 History - - 
Britain 6363387 Sochi NorthAmerica 1 Excursion 80 Nature - - 
Australia 196363 Humburg SouthAmerica 0 Excursion 93 Art - - 
Russia 2066080 Seul Africa 1 Beach Summer -13 3 121 
USA 8524480 London Europe 1 Sport Climb 218104 - - 
Bulgary 7169378 Sochi Oceania 0 Beach Spring -3 23 333 
Georgia 2183317 Belgorod NorthAmerica 1 Sport Climb 902043 - - 
China 8716843 Odessa Europe 0 Beach Winter -30 23 508 
Australia 9689729 Chelyabinsk NorthAmerica 0 Beach Summer 17 21 333 
Russia 9573546 Odessa Africa 0 Sport Skiing 345524 - - 
Belarus 4213710 Odessa Africa 1 Sport Surfing 847425 - - 
Bulgary 4522139 London Antarctica 0 Beach Winter -6 16 511 
Russia 7935209 Chelyabinsk Europe 1 Beach Winter 7 14 167 
Japan 6435075 Humburg Antarctica 0 Excursion 9 Art - - 
Georgia 7294269 Odessa SouthAmerica 0 Sport Surfing 924001 - - 
Georgia 7277534 Colorado NorthAmerica 0 Beach Autumn -1 29 535 
China 4576915 Moscow Asia 1 Beach Summer -14 1 210 
Japan 5182083 Zavolzhye Africa 1 Sport Skiing 590485 - - 
Japan 766430 London Asia 0 Sport Surfing 802363 - - 
Russia 9782125 Colorado Oceania 0 Sport Surfing 248498 - - 
Japan 967633 Colorado Oceania 1 Beach Summer -28 28 293 
Japan 7240616 Humburg SouthAmerica 0 Beach Summer -26 11 469 
Japan 8944839 London SouthAmerica 1 Sport Skiing 809652 - - 
Bulgary 5608063 Honkong Oceania 0 Excursion 17 Art - - 
Russia 6965845 Seul Antarctica 1 Sport Climb 122513 - - 
Britain 8444249 Seul Asia 0 Sport Surfing 748468 - - 
Ukraine 5971509 Seul Europe 1 Excursion 43 History - - 
Japan 7722245 Honkong Africa 0 Beach Autumn 27 20 601 
Germany 7314900 Chelyabinsk Asia 0 Excursion 59 History - - 
Russia 2923554 Belgorod Asia 1 Excursion 60 Nature - - 
Germany 1150076 Sochi NorthAmerica 0 Sport Climb 509404 - - 
Australia 2432238 Seul SouthAmerica 0 Sport Climb 830329 - - 
Ukraine 9918779 Belgorod Africa 0 Excursion 25 History - - 
USA 4646736 Humburg Europe 1 Beach Spring -5 27 119 
Belarus 2802329 Colorado Oceania 0 Sport Climb 336552 - - 
China 3207099 Odessa Europe 1 Beach Spring 19 16 474 
Germany 2223868 Zavolzhye SouthAmerica 1 Beach Winter 0 28 599 
Russia 9348442 Colorado Europe 0 Beach Summer 20 16 524 
China 8557185 Sochi SouthAmerica 1 Sport Skiing 467695 - - 
