Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Georgia 3739485 Zavolzhye Antarctica 0 Beach Summer 20 10 230 
Britain 7775256 London Asia 1 Excursion 46 History - - 
China 8908581 Honkong Oceania 1 Sport Climb 258730 - - 
Australia 2795351 Moscow Oceania 1 Sport Climb 953436 - - 
China 6154992 Sochi Africa 0 Sport Skiing 422809 - - 
Bulgary 4079516 Chelyabinsk Africa 1 Beach Spring 1 23 651 
Australia 8918772 London Europe 0 Sport Surfing 900551 - - 
Bulgary 6968419 Seul Africa 0 Beach Winter -28 5 298 
Russia 7923342 Honkong Africa 0 Excursion 7 Art - - 
Ukraine 4769775 Chelyabinsk Asia 1 Sport Climb 448985 - - 
Georgia 1157343 Moscow SouthAmerica 0 Excursion 64 Nature - - 
Germany 3389910 London Asia 0 Excursion 22 History - - 
Britain 9040951 Sochi Europe 0 Beach Winter 36 4 64 
Germany 1508129 Moscow Asia 1 Sport Skiing 322596 - - 
Germany 1749415 Chelyabinsk Antarctica 1 Sport Climb 459324 - - 
Ukraine 4984419 Seul Oceania 1 Beach Summer -28 18 40 
China 2135541 Humburg Antarctica 0 Sport Skiing 936553 - - 
Russia 8295178 Minsk Oceania 1 Beach Summer 26 3 600 
USA 2520609 Sochi Antarctica 1 Beach Winter 33 26 714 
Bulgary 3166101 London NorthAmerica 0 Excursion 34 History - - 
Ukraine 3351091 Colorado Antarctica 0 Excursion 0 History - - 
Australia 1053029 Sochi Africa 1 Beach Winter -22 7 714 
Belarus 3344967 Honkong SouthAmerica 0 Sport Skiing 731806 - - 
Russia 6383868 Humburg SouthAmerica 0 Excursion 79 Art - - 
Georgia 6329913 Odessa NorthAmerica 0 Sport Skiing 477065 - - 
USA 9665423 London NorthAmerica 1 Excursion 98 Art - - 
Britain 4089022 Colorado Asia 0 Sport Skiing 683781 - - 
USA 5982519 Honkong Oceania 0 Excursion 64 Nature - - 
Australia 1008025 Odessa NorthAmerica 1 Excursion 52 Nature - - 
Japan 6447292 Sochi NorthAmerica 1 Excursion 4 Art - - 
Germany 8810212 Chelyabinsk Africa 1 Beach Autumn -29 6 281 
Belarus 9386992 Sochi Asia 1 Beach Summer -14 26 215 
Britain 3336005 Zavolzhye Antarctica 0 Beach Spring -7 17 306 
Ukraine 8606819 Seul Oceania 0 Excursion 8 History - - 
Georgia 4547344 Belgorod Asia 1 Sport Climb 982514 - - 
Russia 2172120 Minsk NorthAmerica 0 Excursion 99 Art - - 
Australia 3434222 Seul Antarctica 1 Beach Spring 19 1 660 
Germany 246598 Chelyabinsk SouthAmerica 1 Excursion 64 Nature - - 
Bulgary 7373511 Moscow NorthAmerica 1 Beach Autumn -11 1 76 
China 298246 Honkong Asia 1 Beach Winter -20 30 123 
Belarus 5679507 Honkong SouthAmerica 1 Excursion 89 Nature - - 
Ukraine 8139503 Minsk Europe 1 Sport Surfing 588982 - - 
Ukraine 316039 Moscow Antarctica 1 Excursion 53 History - - 
Germany 1022439 Odessa Africa 1 Excursion 56 Nature - - 
Germany 2699689 Honkong Asia 1 Excursion 69 Nature - - 
Ukraine 6396301 Humburg Europe 1 Excursion 13 Nature - - 
Russia 8609764 Humburg Europe 0 Excursion 86 History - - 
Georgia 1922793 Odessa Antarctica 0 Beach Summer -22 0 476 
China 8447735 Seul Africa 1 Beach Spring 26 26 409 
Australia 4083971 Belgorod Europe 0 Beach Spring 31 7 673 
Belarus 4885411 Minsk Africa 0 Excursion 46 Nature - - 
Georgia 8686739 Minsk NorthAmerica 0 Sport Skiing 782646 - - 
Georgia 5989979 Chelyabinsk Oceania 1 Excursion 36 History - - 
USA 5565583 Honkong SouthAmerica 1 Sport Surfing 157128 - - 
Georgia 241089 Colorado Antarctica 0 Beach Spring -8 12 64 
Japan 4135272 Moscow Europe 1 Beach Summer -17 0 589 
Belarus 5969835 Seul SouthAmerica 1 Beach Autumn -3 15 52 
Britain 2522044 London Europe 1 Beach Spring -3 28 240 
Ukraine 6505466 Sochi SouthAmerica 1 Beach Winter 8 3 23 
Japan 275324 London SouthAmerica 0 Beach Summer -24 10 524 
China 3304688 Minsk Oceania 0 Excursion 30 Art - - 
China 7892176 Seul Oceania 1 Sport Climb 74283 - - 
Belarus 8392920 Chelyabinsk SouthAmerica 0 Beach Spring -8 21 564 
Ukraine 9982944 Minsk NorthAmerica 1 Beach Autumn 29 21 296 
Ukraine 93890 Seul SouthAmerica 1 Sport Skiing 125767 - - 
USA 9698432 Honkong Europe 1 Excursion 92 Nature - - 
Georgia 2186501 Moscow NorthAmerica 0 Beach Autumn 28 3 422 
Britain 2585996 Chelyabinsk NorthAmerica 0 Sport Climb 292560 - - 
Ukraine 172612 London SouthAmerica 0 Excursion 81 Art - - 
Bulgary 1697949 Seul Asia 0 Sport Skiing 101710 - - 
Australia 427427 Moscow Asia 0 Beach Winter 30 26 715 
Bulgary 2954895 Sochi Oceania 1 Sport Surfing 352199 - - 
Japan 8263465 Minsk Asia 0 Excursion 39 Nature - - 
Belarus 9369517 Belgorod Oceania 1 Beach Summer 21 28 82 
Russia 1639290 Moscow Europe 0 Beach Spring 7 8 654 
Germany 9706279 Humburg NorthAmerica 0 Excursion 20 Art - - 
Australia 368414 Chelyabinsk Oceania 1 Excursion 43 Art - - 
