Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Britain 2196025 Humburg NorthAmerica 1 Excursion 41 Nature - - 
Georgia 172361 Minsk NorthAmerica 0 Beach Summer 31 11 227 
Russia 9202999 Moscow Europe 0 Excursion 11 Nature - - 
Georgia 1247904 London Oceania 0 Sport Climb 315089 - - 
Japan 4470362 Chelyabinsk NorthAmerica 1 Sport Surfing 746380 - - 
China 949656 Zavolzhye NorthAmerica 0 Beach Autumn 35 19 268 
Germany 5126220 Zavolzhye Oceania 0 Excursion 2 Nature - - 
Georgia 8960235 Sochi Europe 1 Beach Summer -22 8 244 
China 5326727 Chelyabinsk Africa 0 Sport Skiing 790880 - - 
Germany 3167228 Colorado SouthAmerica 0 Beach Autumn 12 13 553 
Georgia 3361314 Seul SouthAmerica 0 Excursion 42 History - - 
Georgia 5806195 Zavolzhye Africa 1 Excursion 82 Art - - 
Japan 2145284 Minsk NorthAmerica 1 Sport Skiing 927528 - - 
Japan 3850092 Sochi Africa 1 Excursion 42 Art - - 
Ukraine 6711974 Moscow Asia 1 Sport Climb 29917 - - 
Ukraine 2829860 Chelyabinsk Europe 0 Excursion 19 Nature - - 
Germany 8485858 Minsk SouthAmerica 0 Beach Summer -16 11 589 
Britain 4506564 Odessa Africa 0 Beach Summer 30 1 244 
USA 5694824 Zavolzhye Africa 0 Beach Spring -15 18 320 
Japan 2771787 Minsk NorthAmerica 0 Sport Skiing 519329 - - 
Russia 7491279 Zavolzhye SouthAmerica 0 Excursion 26 History - - 
China 1257468 Colorado Europe 1 Sport Surfing 418786 - - 
Germany 4283556 Minsk NorthAmerica 1 Beach Summer -8 15 536 
Bulgary 696650 Honkong Oceania 1 Beach Summer -25 25 6 
Japan 9811938 Minsk NorthAmerica 0 Excursion 42 Nature - - 
Germany 1747640 Chelyabinsk Asia 1 Excursion 48 Art - - 
Russia 706642 Colorado Europe 1 Sport Skiing 86683 - - 
Ukraine 1973654 Chelyabinsk Asia 0 Beach Winter 25 16 654 
Japan 4853198 Colorado Asia 1 Beach Winter -12 25 674 
Georgia 906742 Humburg Asia 0 Sport Climb 924876 - - 
Bulgary 758586 Belgorod Europe 1 Beach Winter 39 0 158 
Russia 3076697 Chelyabinsk Antarctica 1 Excursion 100 Art - - 
Bulgary 1523783 Belgorod Africa 0 Sport Skiing 339103 - - 
Germany 3910033 Sochi Europe 1 Sport Climb 640250 - - 
Russia 584618 Moscow Antarctica 1 Sport Climb 400164 - - 
Bulgary 6328784 Odessa NorthAmerica 1 Sport Skiing 970614 - - 
Britain 3562025 Sochi Antarctica 0 Sport Surfing 214401 - - 
China 2603965 Humburg Oceania 1 Beach Spring -14 13 201 
Bulgary 152960 Seul Asia 1 Beach Summer -12 21 73 
Germany 6303534 Sochi Asia 0 Sport Climb 363347 - - 
Japan 2541154 Chelyabinsk SouthAmerica 1 Sport Climb 295785 - - 
Germany 344390 Zavolzhye NorthAmerica 1 Beach Spring 14 22 355 
Bulgary 4743383 Minsk Asia 1 Excursion 95 Art - - 
Germany 6388009 Chelyabinsk Asia 0 Sport Surfing 644187 - - 
Georgia 2712257 Sochi NorthAmerica 0 Beach Summer 10 25 258 
Germany 5702210 Seul Africa 1 Beach Autumn 1 11 379 
Australia 4005093 Humburg Oceania 0 Excursion 100 Art - - 
Ukraine 7462140 Minsk Antarctica 1 Excursion 95 History - - 
Britain 1664406 Colorado Europe 1 Excursion 88 Art - - 
China 1289292 London Europe 1 Excursion 7 Art - - 
Ukraine 2517233 Belgorod SouthAmerica 1 Sport Surfing 108437 - - 
Georgia 703059 Belgorod Europe 1 Excursion 2 Art - - 
Russia 6174701 Colorado NorthAmerica 1 Sport Skiing 273657 - - 
Russia 6394843 Odessa NorthAmerica 1 Excursion 69 Art - - 
Japan 5757159 Zavolzhye Antarctica 0 Beach Spring 23 18 691 
Belarus 46727 Moscow NorthAmerica 1 Beach Spring -16 12 426 
Georgia 1042671 Humburg Africa 0 Sport Surfing 481812 - - 
Belarus 9822535 Zavolzhye Antarctica 0 Excursion 56 Nature - - 
China 4121771 Odessa Africa 0 Beach Winter 36 9 16 
Georgia 1225801 Honkong Asia 0 Beach Winter 15 1 136 
Britain 7986531 Colorado Antarctica 0 Beach Spring -26 6 185 
Belarus 5045095 Odessa Antarctica 0 Sport Climb 824504 - - 
Russia 4274104 Chelyabinsk Europe 1 Excursion 45 History - - 
Germany 1643316 Odessa Europe 1 Sport Surfing 490994 - - 
Georgia 1593093 Humburg Europe 0 Excursion 60 Nature - - 
Australia 1148400 Chelyabinsk Europe 1 Beach Spring -26 22 281 
Bulgary 7407060 Honkong Europe 1 Excursion 59 History - - 
Germany 5356611 Belgorod Antarctica 1 Sport Climb 562063 - - 
Britain 4395290 Moscow Europe 0 Excursion 29 Nature - - 
Britain 6397151 Seul Africa 1 Beach Autumn -18 18 176 
Georgia 7730335 Minsk Antarctica 0 Sport Surfing 967754 - - 
China 8095686 Seul SouthAmerica 1 Sport Surfing 740680 - - 
Russia 1086373 London NorthAmerica 1 Excursion 85 Art - - 
Germany 1865322 Minsk NorthAmerica 1 Sport Climb 23891 - - 
Britain 5765216 Honkong SouthAmerica 1 Beach Summer 34 27 464 
Australia 7323594 Minsk Antarctica 1 Beach Spring 6 20 502 
Russia 314401 Sochi SouthAmerica 0 Excursion 77 History - - 
China 1090589 Colorado NorthAmerica 1 Excursion 37 History - - 
Russia 9935839 Moscow Asia 0 Beach Summer -23 2 109 
Bulgary 236055 Belgorod Africa 1 Sport Climb 424607 - - 
USA 7002692 Chelyabinsk Oceania 1 Sport Climb 119110 - - 
Germany 5692378 Moscow Oceania 1 Beach Spring -16 4 662 
Japan 8378477 London Antarctica 1 Beach Autumn -15 25 170 
Australia 9943036 Sochi Antarctica 1 Beach Autumn 33 1 581 
Bulgary 5285131 Chelyabinsk Antarctica 0 Sport Climb 800274 - - 
Bulgary 2066677 London Asia 0 Sport Climb 642953 - - 
Russia 6468735 Honkong Oceania 1 Excursion 55 Art - - 
USA 2244398 Humburg Europe 1 Excursion 11 History - - 
Japan 3231006 Humburg Antarctica 1 Sport Skiing 834093 - - 
Bulgary 4478275 Minsk Asia 0 Excursion 98 Nature - - 
China 2675906 Humburg Antarctica 1 Excursion 84 History - - 
Britain 2074559 Colorado SouthAmerica 1 Sport Surfing 225267 - - 
USA 7727432 Belgorod NorthAmerica 1 Excursion 8 Art - - 
Russia 8080665 Honkong Oceania 1 Sport Climb 321545 - - 
Belarus 2266324 Humburg Asia 1 Beach Spring 28 29 329 
China 1732401 Honkong SouthAmerica 1 Sport Skiing 790677 - - 
Australia 9392318 Minsk SouthAmerica 0 Excursion 86 History - - 
Bulgary 1216466 London Oceania 0 Beach Winter -8 7 330 
Germany 6195198 Humburg Europe 1 Beach Summer -28 26 303 
Belarus 7384954 Seul SouthAmerica 1 Sport Surfing 782879 - - 
Germany 4987687 Zavolzhye Antarctica 0 Excursion 66 Nature - - 
Japan 6475186 Seul Europe 1 Beach Winter -30 18 611 
Japan 2448250 Chelyabinsk Oceania 1 Beach Summer -13 5 681 
Russia 3903385 Belgorod Antarctica 1 Excursion 67 Nature - - 
USA 3789433 Minsk Oceania 1 Excursion 16 Nature - - 
Germany 3873337 Seul NorthAmerica 1 Beach Summer 31 19 234 
Australia 9601301 Belgorod Oceania 1 Beach Autumn 28 5 539 
Germany 7028178 Humburg Antarctica 0 Sport Climb 855154 - - 
Belarus 1473965 London Asia 0 Beach Summer -20 1 454 
Bulgary 4650015 Colorado Asia 0 Excursion 79 History - - 
Japan 2023739 Odessa Oceania 0 Sport Surfing 323149 - - 
China 852226 Chelyabinsk NorthAmerica 1 Excursion 99 History - - 
Australia 5296844 Minsk Oceania 1 Sport Skiing 863013 - - 
Japan 3009949 Colorado NorthAmerica 0 Excursion 60 History - - 
Russia 397522 Seul Asia 1 Sport Skiing 155925 - - 
China 857429 Chelyabinsk Asia 0 Beach Winter 14 6 530 
Ukraine 7732302 Humburg Africa 0 Excursion 16 History - - 
Belarus 9849646 London NorthAmerica 0 Sport Surfing 736152 - - 
Bulgary 2742725 Moscow NorthAmerica 1 Excursion 31 Nature - - 
Ukraine 394033 Seul Europe 1 Excursion 3 History - - 
Ukraine 6645374 Zavolzhye Europe 1 Excursion 26 Nature - - 
Bulgary 5833241 Humburg Antarctica 1 Sport Surfing 740476 - - 
Georgia 8630447 Minsk SouthAmerica 0 Sport Climb 432057 - - 
Belarus 9997792 Seul Africa 0 Beach Summer 1 9 323 
Germany 6703229 Chelyabinsk SouthAmerica 1 Excursion 47 History - - 
Germany 6369484 Chelyabinsk SouthAmerica 0 Excursion 85 History - - 
USA 1476741 Colorado SouthAmerica 1 Sport Surfing 99972 - - 
Georgia 6443952 Humburg NorthAmerica 1 Beach Autumn 22 0 151 
USA 3955322 Colorado Europe 1 Excursion 0 Nature - - 
Belarus 2076913 Seul Asia 1 Excursion 71 Nature - - 
Britain 9168927 London Europe 0 Excursion 96 Art - - 
Belarus 1876798 London Europe 1 Sport Skiing 195346 - - 
USA 9412219 Belgorod Oceania 0 Sport Surfing 140585 - - 
Belarus 2592503 Colorado Asia 1 Excursion 1 History - - 
Bulgary 570168 Honkong NorthAmerica 0 Excursion 76 History - - 
Ukraine 8351004 Seul Oceania 0 Sport Skiing 223562 - - 
Bulgary 2943738 Colorado Asia 0 Sport Skiing 399562 - - 
China 9948074 Zavolzhye Antarctica 1 Sport Climb 405985 - - 
