Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Georgia 6109394 Odessa SouthAmerica 0 Sport Climb 669297 - - 
Bulgary 1547571 Zavolzhye Asia 1 Sport Surfing 511831 - - 
Australia 4818671 Humburg Antarctica 0 Excursion 36 Nature - - 
Belarus 7926256 Sochi Africa 1 Beach Winter 0 8 76 
Japan 2996141 Belgorod Oceania 0 Sport Surfing 255573 - - 
Russia 383569 Colorado Europe 0 Sport Surfing 636571 - - 
Ukraine 5581050 Sochi Antarctica 1 Beach Spring 36 7 200 
Australia 7527474 Minsk NorthAmerica 0 Beach Summer 9 2 129 
China 342888 Humburg SouthAmerica 1 Beach Winter 1 2 576 
Ukraine 903957 London Asia 1 Sport Climb 867114 - - 
Germany 4775795 Chelyabinsk NorthAmerica 1 Beach Autumn -20 7 322 
Ukraine 8614084 Seul Antarctica 0 Sport Skiing 571659 - - 
Japan 4946341 Belgorod Asia 0 Beach Autumn -1 30 242 
Ukraine 787007 Honkong NorthAmerica 0 Excursion 36 History - - 
Ukraine 4550831 Chelyabinsk SouthAmerica 0 Excursion 20 Art - - 
Ukraine 547950 Sochi Asia 1 Sport Skiing 582075 - - 
USA 9246798 Moscow Africa 0 Beach Autumn -23 4 15 
Ukraine 5232558 Chelyabinsk Europe 0 Beach Spring 39 26 226 
Japan 2444246 Seul SouthAmerica 0 Excursion 95 Nature - - 
Bulgary 8368882 Zavolzhye Europe 1 Sport Climb 855608 - - 
Britain 5350675 Belgorod Antarctica 0 Sport Skiing 509079 - - 
Japan 1504198 Minsk Oceania 1 Sport Surfing 210226 - - 
Bulgary 5324119 Zavolzhye Africa 0 Sport Climb 928537 - - 
Germany 3283685 Zavolzhye NorthAmerica 0 Beach Autumn -25 13 104 
Bulgary 5750604 Zavolzhye Africa 0 Sport Skiing 897717 - - 
Ukraine 8821527 Zavolzhye Europe 0 Beach Spring -15 11 492 
Belarus 4444190 Moscow Asia 1 Sport Surfing 659472 - - 
China 6127840 Humburg Africa 0 Beach Spring 39 17 433 
Belarus 4710149 Seul Europe 1 Excursion 72 History - - 
Russia 4582209 Humburg Asia 0 Excursion 97 History - - 
Germany 1656596 Minsk Oceania 1 Excursion 18 History - - 
