Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Germany 8912245 London Africa 1 Sport Skiing 752530 - - 
Japan 5455829 Moscow Oceania 1 Beach Winter -20 7 698 
Belarus 1928443 Belgorod Antarctica 1 Excursion 16 Art - - 
Georgia 4903099 Honkong South_America 0 Sport Climb 385048 - - 
Bulgary 5108512 London South_America 1 Sport Surfing 436448 - - 
Belarus 8383686 Belgorod Asia 0 Beach Spring -30 27 94 
Germany 6406183 Sochi Asia 0 Excursion 68 Nature - - 
Britain 4391811 Zavolzhye Asia 1 Beach Autumn -9 13 99 
Bulgary 2227778 Humburg North_America 1 Beach Autumn -15 25 205 
Belarus 6566267 London South_America 1 Beach Autumn 38 11 513 
China 9000229 Minsk Antarctica 1 Beach Winter 31 8 516 
Britain 5406724 Seul Antarctica 1 Excursion 78 Art - - 
Germany 5866906 Moscow South_America 0 Sport Surfing 993336 - - 
Britain 9306652 Humburg Antarctica 0 Beach Winter -13 7 306 
Japan 3013596 Odessa Africa 0 Beach Winter 24 2 279 
Belarus 1811348 Colorado North_America 1 Beach Summer -23 25 696 
Bulgary 4665631 Honkong Oceania 1 Sport Climb 615156 - - 
Russia 4801822 Chelyabinsk Europe 0 Sport Skiing 931077 - - 
China 7453958 Moscow South_America 1 Sport Climb 722972 - - 
Australia 8047206 Odessa Asia 0 Excursion 0 Nature - - 
Georgia 2116680 Belgorod Asia 0 Beach Summer 33 3 19 
Bulgary 1791426 Minsk Europe 0 Sport Skiing 379156 - - 
Australia 5348526 Minsk North_America 1 Excursion 82 Art - - 
Belarus 3671802 Moscow South_America 0 Excursion 47 Nature - - 
China 1065063 Zavolzhye Antarctica 0 Sport Surfing 330501 - - 
USA 75832 Humburg Asia 0 Excursion 22 History - - 
Australia 1973760 Chelyabinsk North_America 0 Beach Winter -8 19 540 
Georgia 2647174 Zavolzhye Asia 0 Beach Autumn 19 9 423 
China 6414926 Honkong Asia 1 Excursion 91 Nature - - 
Japan 3100914 Minsk North_America 0 Beach Spring -5 15 532 
Ukraine 9929033 London Antarctica 0 Excursion 70 History - - 
Georgia 860920 Colorado Oceania 1 Beach Spring 40 14 279 
Germany 6801730 Zavolzhye North_America 0 Excursion 75 Art - - 
USA 4977787 Moscow South_America 1 Sport Skiing 930419 - - 
USA 8872124 Colorado Antarctica 1 Beach Summer -2 28 662 
Belarus 9049905 Humburg Asia 1 Sport Surfing 865381 - - 
Germany 3223483 Odessa Oceania 1 Sport Skiing 326414 - - 
USA 630450 Colorado Antarctica 1 Beach Winter 4 10 70 
Bulgary 2628288 Seul South_America 1 Sport Skiing 914557 - - 
China 9858165 London Antarctica 1 Beach Summer 19 11 288 
Georgia 8698235 Odessa Oceania 1 Sport Climb 93537 - - 
Russia 2360917 Colorado Antarctica 0 Excursion 43 Art - - 
Germany 1383251 Humburg South_America 0 Excursion 51 Art - - 
Bulgary 4432005 Humburg North_America 1 Beach Spring 31 27 491 
Belarus 5012459 Colorado North_America 1 Sport Surfing 510019 - - 
Russia 6045921 Chelyabinsk Asia 1 Excursion 89 History - - 
China 5157009 Seul Europe 0 Excursion 73 History - - 
Belarus 2001425 Colorado North_America 1 Excursion 67 Art - - 
Bulgary 1857210 Sochi Oceania 1 Excursion 3 Art - - 
Germany 6081923 Seul Oceania 1 Excursion 15 Nature - - 
USA 7948220 Zavolzhye Antarctica 0 Sport Skiing 465524 - - 
Bulgary 8375785 Zavolzhye Asia 1 Beach Winter 11 15 155 
Belarus 5436298 Minsk Africa 0 Excursion 84 History - - 
USA 871163 Humburg Oceania 1 Sport Skiing 932615 - - 
USA 1828090 Odessa Antarctica 0 Excursion 4 History - - 
Britain 6190651 Moscow Asia 1 Sport Climb 117898 - - 
Australia 9033525 Sochi Oceania 0 Sport Climb 356230 - - 
Japan 4400938 Odessa Oceania 0 Beach Spring -21 6 508 
Australia 1167023 Humburg Oceania 1 Sport Surfing 223791 - - 
Russia 5820952 Belgorod Africa 0 Sport Skiing 987377 - - 
Russia 953810 Belgorod Africa 1 Excursion 91 History - - 
Belarus 2221186 Seul Europe 0 Sport Climb 876944 - - 
Britain 4387672 Sochi North_America 1 Sport Surfing 693471 - - 
China 8966692 Zavolzhye Africa 1 Excursion 35 Art - - 
Georgia 1506586 Sochi North_America 1 Sport Skiing 742861 - - 
Georgia 4263756 Belgorod South_America 0 Excursion 11 Nature - - 
Japan 1058332 Sochi Europe 0 Sport Skiing 266441 - - 
USA 5758189 Zavolzhye Africa 0 Sport Skiing 669827 - - 
Ukraine 4517352 Colorado North_America 0 Beach Autumn 22 18 653 
Japan 8185870 Seul South_America 1 Excursion 5 Art - - 
Japan 4071955 Chelyabinsk Oceania 0 Sport Skiing 449738 - - 
China 7097492 Minsk Antarctica 0 Sport Skiing 423072 - - 
Germany 9289529 Chelyabinsk Antarctica 1 Beach Spring 25 26 545 
Australia 4758293 Seul South_America 1 Excursion 44 Nature - - 
Japan 3190646 Zavolzhye Europe 0 Beach Autumn 39 5 377 
Australia 7628340 London Asia 0 Excursion 25 Nature - - 
Bulgary 4492995 Minsk Oceania 0 Excursion 56 Nature - - 
Russia 5831240 Sochi Oceania 1 Excursion 67 Nature - - 
Ukraine 5224418 Minsk Oceania 0 Sport Climb 19174 - - 
China 1837140 Moscow South_America 0 Excursion 72 Nature - - 
USA 5604775 Moscow North_America 1 Sport Climb 181295 - - 
Belarus 7764845 Chelyabinsk Europe 0 Beach Spring 8 10 226 
Britain 6922282 Honkong North_America 1 Beach Spring 31 0 0 
USA 157607 Moscow Africa 1 Excursion 11 Nature - - 
USA 7806606 Sochi Europe 0 Beach Autumn 1 9 556 
USA 807077 Colorado South_America 1 Excursion 85 History - - 
Japan 1868663 Seul Africa 0 Beach Winter 30 0 517 
Bulgary 8943039 Odessa Europe 0 Sport Skiing 103284 - - 
